Date,NYA,N225,IXIC,GSPTSE,HSI,GDAXI,SSMI,KS11,TWII,SS,SZ,N100,NSEI,JO
2012-02-08,8082.97998,9015.589844,2915.860107,12521.0,21018.46094,6748.759766,6155.859863,2003.72998,7869.910156,2347.530029,9557.580078,632.72998,5368.149902,34226.73047
2012-02-09,8081.25,9002.240234,2927.22998,12497.90039,21010.00977,6788.799805,6169.629883,2014.619995,7910.779785,2349.589111,9560.730469,633.849976,5412.350098,34268.14063
2012-02-10,7992.049805,8947.169922,2903.879883,12389.40039,20783.85938,6692.959961,6130.660156,1993.709961,7862.27002,2351.980957,9590.950195,625.900024,5381.600098,33892.57813
2012-02-13,8056.22998,8999.179688,2931.389893,12398.7002,20887.40039,6738.470215,6177.439941,2005.73999,7912.910156,2351.854004,9585.080078,629.580017,5390.200195,34207.42969
2012-02-14,8029.609863,9052.070313,2931.830078,12354.5,20917.83008,6728.189941,6163.819824,2002.640015,7884.080078,2344.770996,9543.780273,628.960022,5416.049805,34112.44141
2012-02-15,7998.649902,9260.339844,2915.830078,12362.0,21365.23047,6757.939941,6198.339844,2025.319946,8005.240234,2366.701904,9673.44043,631.400024,5531.950195,34089.87109
2012-02-16,8092.189941,9238.099609,2959.850098,12485.59961,21277.2793,6751.959961,6217.279785,1997.449951,7869.700195,2356.860107,9622.830078,632.919983,5521.950195,33801.64063
2012-02-17,8114.509766,9384.169922,2951.780029,12458.29981,21491.61914,6848.029785,6237.689941,2023.469971,7894.359863,2357.180908,9615.339844,639.130005,5564.299805,34082.78125
2012-02-21,8115.419922,9463.019531,2948.570068,12623.40039,21478.7207,6908.180176,6237.819824,2024.23999,7921.5,2381.429932,9695.870117,643.090027,5607.149902,34142.37109
2012-02-22,8094.390137,9554.0,2933.169922,12701.29981,21549.2793,6843.870117,6192.419922,2028.650024,8001.680176,2403.586914,9862.540039,639.369995,5505.350098,34006.51953
2012-02-23,8136.149902,9595.570313,2956.97998,12731.29981,21380.99023,6809.459961,6200.970215,2007.800049,7937.299805,2409.553955,9918.94043,638.909973,5483.299805,34108.19922
2012-02-24,8151.970215,9647.379883,2963.75,12725.79981,21406.85938,6864.430176,6184.129883,2019.890015,7959.339844,2439.626953,10124.15039,640.900024,5429.299805,34260.76172
2012-02-29,8113.240234,9723.240234,2966.889893,12644.0,21680.08008,6856.080078,6109.930176,2030.25,8121.439941,2428.487061,10054.83984,640.72998,5385.200195,34296.0
2012-03-02,8125.169922,9777.030273,2976.189941,12643.79981,21562.25977,6921.370117,6149.370117,2034.630005,8144.040039,2460.693115,10299.94043,649.400024,5359.350098,34186.80859
2012-03-05,8091.279785,9698.589844,2950.47998,12524.0,21265.31055,6866.459961,6153.910156,2016.060059,8004.740234,2445.001953,10226.44043,646.940002,5280.350098,34031.76953
2012-03-06,7920.350098,9637.629883,2910.320068,12298.59961,20806.25,6633.109863,6047.529785,2000.359985,7937.970215,2410.445068,10093.80957,626.859985,5222.399902,33387.03906
2012-03-07,7979.779785,9576.05957,2935.689941,12350.2002,20627.7793,6671.109863,6102.540039,1982.150024,7903.080078,2394.793945,10054.87012,632.590027,5220.450195,33592.32031
2012-03-09,8102.100098,9929.740234,2988.340088,12503.59961,21086.0,6880.209961,6188.509766,2018.300049,8016.009766,2439.461914,10334.37988,648.52002,5333.549805,33926.19922
2012-03-12,8086.279785,9889.860352,2983.659912,12428.0,21134.17969,6901.350098,6189.859863,2002.5,7927.549805,2434.85791,10300.5,649.27002,5359.549805,33901.71875
2012-03-13,8234.480469,9899.080078,3039.879883,12537.7002,21339.69922,6995.910156,6260.02002,2025.040039,8031.509766,2455.793945,10427.24023,659.429993,5429.5,34175.39063
2012-03-14,8185.27002,10050.51953,3040.72998,12377.90039,21307.89063,7079.419922,6300.430176,2045.079956,8125.259766,2391.22998,10094.88965,661.52002,5463.899902,34426.73828
2012-03-15,8246.719727,10123.28027,3056.370117,12455.79981,21353.5293,7144.450195,6332.220215,2043.76001,8121.620117,2373.773926,10086.55957,663.359985,5380.5,34215.30078
2012-03-16,8270.400391,10129.83008,3055.26001,12497.0,21317.84961,7157.819824,6341.330078,2034.439941,8054.939941,2404.736084,10279.29981,665.859985,5317.899902,34221.62109
2012-03-21,8219.339844,10086.49023,3075.320068,12436.5,20856.63086,7071.319824,6290.0,2027.22998,7981.939941,2378.195068,10090.44043,656.409973,5364.950195,33878.55859
2012-03-22,8141.319824,10127.08008,3063.320068,12361.79981,20901.56055,6981.259766,6249.560059,2026.119995,8059.939941,2375.771973,10038.9502,648.219971,5228.450195,33550.89063
2012-03-23,8180.049805,10011.46973,3067.919922,12465.7002,20668.80078,6995.620117,6240.330078,2026.829956,8076.609863,2349.539063,9885.25,648.27002,5278.200195,33572.07031
2012-03-26,8288.780273,10018.24023,3122.570068,12574.79981,20668.85938,7079.22998,6283.259766,2019.189941,7967.620117,2350.599121,9946.139648,654.02002,5184.25,33664.46094
2012-03-27,8239.330078,10255.15039,3120.350098,12512.0,21046.91016,7078.899902,6269.379883,2039.76001,8029.459961,2347.178955,9841.379883,650.390015,5243.149902,33858.21875
2012-03-28,8188.350098,10182.57031,3104.959961,12413.90039,20885.41992,6998.799805,6250.430176,2031.73999,8038.069824,2284.881104,9531.150391,643.710022,5194.75,33621.92969
2012-03-29,8166.370117,10114.79004,3095.360107,12339.40039,20609.39063,6875.149902,6176.259766,2014.410034,7872.660156,2252.159912,9418.230469,635.080017,5178.850098,33483.26172
2012-03-30,8206.929688,10083.55957,3091.570068,12392.2002,20555.58008,6946.830078,6235.509766,2014.040039,7933.0,2262.788086,9410.259766,642.309998,5295.549805,33554.21094
2012-04-10,7841.910156,9538.019531,2991.219971,11935.29981,20356.24023,6606.430176,6061.430176,1994.410034,7640.680176,2305.863037,9795.969727,608.599976,5243.600098,33617.73828
2012-04-12,8039.950195,9524.790039,3055.550049,12214.7002,20327.32031,6743.240234,6125.390137,1986.630005,7662.919922,2350.864014,10007.65039,619.299988,5276.850098,33816.96094
2012-04-13,7931.089844,9637.990234,3011.330078,12040.40039,20701.03906,6583.899902,6072.120117,2008.910034,7788.27002,2359.160889,10043.71973,607.849976,5207.450195,33705.03125
2012-04-16,7949.560059,9470.639648,2988.399902,12037.59961,20610.64063,6625.189941,6124.910156,1992.630005,7729.859863,2357.025879,10000.30957,610.25,5226.200195,33661.21094
2012-04-17,8064.040039,9464.709961,3042.820068,12136.90039,20562.31055,6801.0,6200.27002,1985.300049,7585.870117,2334.985107,9839.919922,623.830017,5289.700195,33777.96875
2012-04-18,8030.370117,9667.259766,3031.449951,12128.90039,20780.73047,6732.029785,6173.350098,2004.530029,7605.0,2380.8479,10069.53027,616.349976,5300.0,34050.23828
2012-04-19,7995.910156,9588.379883,3007.560059,12153.7002,20995.00977,6671.220215,6203.779785,1999.859985,7622.689941,2378.634033,10015.41016,607.130005,5332.399902,34106.92188
2012-04-20,8025.439941,9561.360352,3000.449951,12147.29981,21010.64063,6750.120117,6237.790039,1974.650024,7507.149902,2406.863037,10131.04004,608.309998,5290.850098,34216.55078
2012-04-23,7940.740234,9542.169922,2970.449951,11989.0,20624.39063,6523.0,6114.830078,1972.630005,7481.089844,2388.587891,10076.04981,593.309998,5200.600098,33703.21094
2012-04-24,7988.009766,9468.040039,2961.600098,11980.09961,20677.16016,6590.410156,6124.839844,1963.420044,7498.839844,2388.833984,10041.88965,603.369995,5222.649902,33820.87109
2012-04-25,8070.790039,9561.009766,3029.629883,12111.09961,20646.28906,6704.5,6150.569824,1961.97998,7563.180176,2406.812988,10162.00977,613.75,5202.0,34028.80859
2012-04-26,8123.069824,9561.830078,3050.610107,12145.90039,20809.71094,6739.899902,6122.410156,1964.040039,7521.350098,2404.697021,10201.65039,615.48999,5189.0,34251.42969
2012-04-27,8151.910156,9520.889648,3069.199951,12237.79981,20741.44922,6801.319824,6116.359863,1975.349976,7480.5,2396.315918,10180.38965,619.400024,5190.600098,34251.42969
2012-05-02,8124.319824,9380.25,3059.850098,12230.09961,21309.08008,6710.77002,6108.77002,1999.069946,7676.810059,2438.436035,10424.94043,614.72998,5239.149902,34482.42969
2012-05-07,7948.77002,9119.139648,2957.76001,11860.7002,20536.65039,6569.47998,6040.180176,1956.439941,7538.080078,2451.947021,10612.88965,613.080017,5114.149902,33956.07813
2012-05-08,7887.259766,9181.650391,2946.27002,11704.7002,20484.75,6444.740234,5977.799805,1967.01001,7545.709961,2448.884033,10524.67969,599.179993,4999.950195,33547.76953
2012-05-09,7820.25,9045.05957,2934.709961,11675.0,20330.64063,6475.310059,5936.129883,1950.290039,7475.709961,2408.585938,10294.58008,598.01001,4974.799805,33434.03906
2012-05-10,7852.75,9009.650391,2933.639893,11736.2002,20227.2793,6518.0,5926.600098,1944.930054,7484.009766,2410.229004,10277.62012,600.150024,4965.700195,33869.71094
2012-05-11,7815.879883,8953.30957,2933.820068,11694.7002,19964.63086,6579.930176,5954.879883,1917.130005,7401.370117,2394.981934,10211.41016,601.539978,4928.899902,34038.46094
2012-05-14,7705.439941,8973.839844,2902.580078,11488.5,19735.03906,6451.970215,5875.660156,1913.72998,7377.180176,2380.725098,10093.37988,588.809998,4907.799805,33533.55859
2012-05-15,7635.810059,8900.740234,2893.76001,11343.09961,19894.31055,6401.060059,5865.160156,1898.959961,7395.640137,2374.843018,10131.80957,585.299988,4942.799805,33486.07813
2012-05-16,7592.819824,8801.169922,2874.040039,11326.09961,19259.83008,6384.259766,5872.72998,1840.530029,7234.569824,2346.191895,9916.469727,585.419983,4858.25,33794.71875
2012-05-18,7427.740234,8611.30957,2778.790039,11280.59961,18951.84961,6271.220215,5797.759766,1782.459961,7151.189941,2344.520996,9903.089844,575.080017,4891.450195,33148.39063
2012-05-22,7542.580078,8729.290039,2839.080078,11451.79981,19039.15039,6435.600098,5910.200195,1828.689941,7274.890137,2373.305908,10180.26953,588.159973,4860.5,33488.14063
2012-05-23,7540.899902,8556.599609,2850.120117,11564.79981,18786.18945,6285.75,5817.910156,1808.619995,7147.75,2363.437012,10143.2002,573.859985,4835.649902,32887.44922
2012-05-24,7552.339844,8563.379883,2839.379883,11566.09961,18666.40039,6315.890137,5852.439941,1814.469971,7124.890137,2350.9729,9984.580078,580.190002,4921.399902,33046.12891
2012-05-25,7534.330078,8580.389648,2837.530029,11576.5,18713.41016,6339.939941,5865.189941,1824.170044,7071.629883,2333.552979,9884.959961,581.909973,4920.399902,32992.25
2012-05-29,7615.029785,8657.080078,2870.98999,11609.29981,19055.46094,6396.839844,5914.72998,1849.910034,7342.290039,2389.635986,10214.74023,587.539978,4990.100098,33440.19922
2012-05-30,7471.399902,8633.19043,2837.360107,11433.2002,18690.2207,6280.799805,5902.819824,1844.859985,7261.799805,2384.667969,10162.33984,576.929993,4950.75,32968.80859
2012-05-31,7463.959961,8542.730469,2827.340088,11513.2002,18629.51953,6264.379883,5849.899902,1843.469971,7301.5,2372.233887,10141.41016,576.809998,4924.25,33142.60938
2012-06-01,7292.22998,8440.25,2747.47998,11361.2002,18558.33984,6050.290039,5777.470215,1834.51001,7106.089844,2373.436035,10145.79981,563.109985,4841.600098,33107.46094
2012-06-07,7519.830078,8639.719727,2831.02002,11592.09961,18678.28906,6144.220215,5869.209961,1847.949951,7080.310059,2293.129883,9755.639648,583.22998,5049.649902,33904.85938
2012-06-08,7553.77002,8459.259766,2858.419922,11500.59961,18502.33984,6130.819824,5869.319824,1835.640015,6999.649902,2281.447021,9707.179688,580.929993,5068.350098,33665.71094
2012-06-11,7459.290039,8624.900391,2809.72998,11401.79981,18953.63086,6141.049805,5871.350098,1867.040039,7120.22998,2305.855957,9849.769531,579.859985,5054.100098,33616.57031
